artist,album,play_count
Pavement,Quarantine the Past: The Best of Pavement,832
Neil Young,Greatest Hits,516
The Clash,Clash on Broadway,504
Janelle Monáe,The Audition,477
Billy Bragg & Wilco,Mermaid Avenue,439
Spiritualized,Ladies and Gentlemen We Are Floating in Space,417
Ride,Nowhere,403
Wilco,Summerteeth,399
The Rolling Stones,Exile on Main St.,343
Wilco,Kicking Television: Live in Chicago,338
Spiritualized,Pure Phase,297
The Band,The Last Waltz,296
Wilco,Being There,236
Beastie Boys,Hot Sauce Committee Part Two,233
The Rolling Stones,Classic Hits,224
The Rolling Stones,Forty Licks,210
The Cure,Greatest Hits,210
The Rolling Stones,Sticky Fingers,201
Janelle Monáe,Metropolis The Chase Suite,199
Pixies,Doolittle,196
Charanjit Singh,Ten Ragas to a Disco Beat,196
Beastie Boys,Ill Communication (Deluxe Version) [Remastered],194
My Bloody Valentine,Loveless,194
The Replacements,Don't You Know Who I Think I Was?: The Best Of The Replacements,181
Bruce Springsteen,The Essential Bruce Springsteen,181
The Stone Roses,The Stone Roses (20th Anniversary Collector's Edition),178
The Rolling Stones,Let It Bleed,172
Explosions in the Sky,"Those Who Tell the Truth Shall Die, Those Who Tell the Truth Shall Live Forever",166
Wilco,Summer Teeth,165
Sonic Youth,Hits Are for Squares,163
The Clash,Sound System,163
U2,Achtung Baby,160
Rancid,...And Out Come The Wolves,159
Fugazi,The Argument,159
Yo La Tengo,Fade,153
Radiohead,OK Computer,151
Miles Davis,The Complete Birth of the Cool,148
The Jesus and Mary Chain,Psychocandy,146
Pavement,Slanted & Enchanted: Luxe & Reduxe,146
Pavement,Brighten the Corners: Nicene Creedence Ed.,145
Miles Davis,Kind of Blue,142
Wilco,Yankee Hotel Foxtrot,142
Beastie Boys,Check Your Head (Deluxe Version) [Remastered],141
David Bowie,Sound And Vision,139
El-P,Cancer 4 Cure,136
David Bowie,The Singles Collection,136
The Clash,Give 'Em Enough Rope,131
Asian Dub Foundation,Rafi's Revenge,130
Sebadoh,Harmacy,129
New Order,Movement [Collector's Edition],129
Bad Brains,I Against I,127
The Rolling Stones,Hot Rocks (1964-1971),124
Bob Dylan,Love and Theft,122
Neil Young,Freedom,121
Thievery Corporation,Radio Retaliation,121
Mike Ness,Under the Influences,121
Bob Dylan,Blonde on Blonde,120
The Clash,The Essential Clash,119
Explosions in the Sky,The Rescue (mp3),118
The Jackson 5,Soulsation!,117
