artist,track,play_count
Ride,Vapour Trail,338
The Rolling Stones,Gimme Shelter,196
Wilco,Misunderstood,167
The Clash,Safe European Home,159
The Clash,Death or Glory,156
Pavement,Summer Babe (Winter Version) [Remastered],145
Yo La Tengo,Blitzkrieg Bop,133
Pavement,"Summer Babe (Live Brixton Academy, London, December 14, 1992)",122
Billy Bragg & Wilco,California Stars,115
Wilco,A Shot In The Arm,106
The Rolling Stones,Tumbling Dice,105
Neil Young,Heart of Gold,103
The Cure,Just Like Heaven,102
The Clash,Rudie Can't Fail,101
Pavement,Date w/ IKEA (Remastered),99
Sinéad O'Connor,Nothing Compares 2 U,98
The Jesus and Mary Chain,Just Like Honey,97
Neil Young,Rockin' in the Free World,97
Wilco,I'm Always In Love,90
The La's,There She Goes,90
The Stone Roses,This Is the One,90
Spiritualized,Ladies and Gentlemen We Are Floating in Space,88
Spiritualized,Medication,84
Bob Dylan,Like a Rolling Stone,83
The Rolling Stones,Street Fighting Man,82
The Cure,Friday I'm in Love,81
Fugazi,Epic Problem,80
Neil Young,Like A Hurricane - Remastered Album Version,80
Wilco,Via Chicago,80
Neil Young,Harvest Moon,79
The Rolling Stones,Honky Tonk Women,79
The Band,01 01 01 - The Band - The Last Waltz Disc 3 - The Night They Drove Old Dixie Down,72
The Rolling Stones,Brown Sugar,69
Sonic Youth,Rain on Tin,69
My Bloody Valentine,Only Shallow,67
Wilco,I Am Trying to Break Your Heart,66
Dinosaur Jr.,Out There,66
Pixies,Debaser,64
Explosions in the Sky,Yasmin the Light,64
Neil Young,Wrecking Ball,63
The Smiths,There Is a Light That Never Goes Out,61
The Clash,Tommy Gun,61
The Chemical Brothers,Song to the Siren,59
Pixies,Here Comes Your Man,58
Thievery Corporation,Sound the Alarm,58
The Rolling Stones,Sympathy for the Devil,58
Stars,The Night Starts Here,58
Asian Dub Foundation,Culture Move,57
Bad Brains,I Against I,57
Prince,Nothing Compares 2 U,57
R.E.M.,"What's the Frequency, Kenneth?",57
Beastie Boys,Sure Shot,55
Paul Wall,They Don't Know - Featuring Mike Jones   Explicit Album Version,55
R.E.M.,Losing My Religion,53
Sebadoh,On Fire,53
Billy Bragg & Wilco,Walt Whitman's Niece,53
Billy Bragg,California Stars,52
Pavement,Cut Your Hair (Remastered),52
The Clash,The Card Cheat,52
New Order,Crystal,51
The Rolling Stones,Love in Vain,51
Levellers,Police On My Back - OTF EP,51
Spiritualized,Come Together,50
Yo La Tengo,Ohm,50
Billy Bragg & Wilco,Way Over Yonder in the Minor Key,50
R.E.M.,You Are the Everything,50
Bruce Springsteen,Born in the U.S.A.,49
Pavement,Shady Lane/J vs. S (Remastered),49
Wilco,Shot in the Arm,49
David Bowie,"""Heroes""",48
Pavement,Debris Slide (Remastered),48
Miles Davis,So What,48
David Bowie,Ziggy Stardust,48
Toots and The Maytals,Pressure Drop,47
The Rolling Stones,Rocks Off,47
"Nas & Damian ""Jr. Gong"" Marley",Nah Mean,46
Spiritualized,Broken Heart,45
Janelle Monáe,Cindi,45
The Rolling Stones,Jumpin' Jack Flash,45
The Rolling Stones,Jumping Jack Flash,45
MGMT,Kids,45
Spiritualized,Lay Back In The Sun,45
OutKast,Call the Law (feat. Janelle Monae),44
Janelle Monáe,Cybertronic Purgatory,44
Radiohead,Fake Plastic Trees,44
Janelle Monáe,Intro,44
Bob Dylan,Knockin' on Heaven's Door,44
Janelle Monáe,Party Girl,44
Janelle Monáe,Star,44
The Velvet Underground,Sweet Jane,44
El-P,The Full Retard,44
Janelle Monáe,Violet Stars Happy Hunting!!!,44
Janelle Monáe,You,44
Mike Ness,I Fought the Law,43
The Clash,Jail Guitar Doors,43
R.E.M.,Man on the Moon,43
Janelle Monáe,Mr. President,43
Janelle Monáe,The Chase,43
Janelle Monáe,Time Will Reveal,43
Usha Uthup,Vande Mataram,43
Janelle Monáe,Warm Up (Cloud 9 Interlude),43
Miles Davis,All Blues,42
Jawbreaker,Jinx Removing,42
The Clash,Pressure Drop,42
"Nas & Damian ""Jr. Gong"" Marley",As We Enter,41
The Replacements,Can't Hardly Wait,41
The Clash,English Civil War,41
Sleater-Kinney,I Wanna Be Your Joey Ramone,41
Emmylou Harris,Wrecking Ball,41
The Rolling Stones,Dead Flowers - 2009 Re-Mastered Digital Version,40
Los Lobos,La Bamba,40
Beastie Boys,Sabotage,40
The Clash,The Guns of Brixton,40
A.R. Rahman,Vande Mataram Re,40
Black Star,Definition,39
Merry Clayton,Gimme Shelter,39
Spiritualized,Home of the Brave,39
Fugazi,Repeater,39
KMFDM,Sucks,39
Beastie Boys,Make Some Noise,38
The Rolling Stones,Under My Thumb,38
Björk,Unravel,38
Wilco,We're Just Friends,38
The Rolling Stones,Beast Of Burden,37
Spiritualized,I Think I'm in Love,37
R.E.M.,It's the End of the World as We Know It (and I Feel Fine),37
Radiohead,Karma Police,37
311,Omaha Stylee,37
Neil Young,The Needle and the Damage Done,37
Massive Attack,Angel,36
Pavement,Summer Babe (Winter Version),36
Willcocks/Choir Of Clare College/Dmitri Ensemble,Wedding Chorus,36
The Verve,Weeping Willow,36
Spiritualized,Electric Mainline,35
The Clash,London Calling,35
Pavement,Range Life (Remastered),35
Pavement,Shoot The Singer (1 Sick Verse) [Remastered],35
Beastie Boys,So What'cha Want,35
Frank Black,Speedy Marie,35
Pavement,Frontwards (Remastered),34
Pavement,Gold Soundz (Remastered),34
Stereolab,Lo Boob Oscillator,34
The Cure,Lovesong,34
The Rolling Stones,Loving Cup,34
Nusrat Fateh Ali Khan,Man Kun to Maula,34
Portishead,Over,34
Trespassers William,Vapour Trail,34
Michael Jackson,Beat It,33
Billy Bragg & Wilco,Birds and Ships,33
Pavement,Cut Your Hair,33
Neil Young,"Hey Hey, My My - Into The Black   Album Version",33
Social Distortion,Making Believe,33
Miles Davis,Nefertiti,33
Beastie Boys,Root Down,33
Wilco,She's A Jar,33
Spiritualized,Soul On Fire,33
Pavement,Stereo (Remastered),33
Radiohead,Let Down,32
Neil Young,"My My, Hey Hey (Out of the Blue)",32
Lefties Soul Connection,Organ Donor,32
The Clash,Police on My Back,32
Pavement,Summer Babe - Winter Version,32
Queen & David Bowie,Under Pressure,32
Capleton,Wings Of The Morning,32
A Tribe Called Quest,Award Tour,31
Yo La Tengo,Blue Line Swinger,31
Wilco,Can't Stand It,31
A Tribe Called Quest,Electric Relaxation,31
Spiritualized,Electricity,31
Wilco,ELT,31
The Cure,Fascination Street,31
Neil Young,Helpless,31
Radiohead,Paranoid Android,31
Misfits,Where Eagles Dare,31
The Rolling Stones,You Can't Always Get What You Want,31
The Rolling Stones,(I Can't Get No) Satisfaction,30
Björk,Army of Me,30
The Clash,Clampdown,30
Cypress Hill,Cock the Hammer,30
Stan Getz,Corcovado (Quiet Nights Of Quiet Stars),30
1942-A Love Story,Ek Ladki Ko Dekha,30
Wilco,"Far, Far Away",30
Bob Dylan,Girl From the North Country,30
The Clash,Julie's Been Working for the Drug Squad,30
DJ Shadow,Organ Donor (Extended Overhaul),30
Wu-Tang Clan,Protect Ya Neck,30
U2,The Fly,30
Miles Davis,Venus de Milo,30
Elvis Costello,(The Angels Wanna Wear My) Red Shoes,29
Wu-Tang Clan,Da Mystery of Chessboxin',29
Beastie Boys,Flute Loop,29
Billy Bragg & Wilco,Hoodoo Voodoo,29
Bob Dylan,Hurricane,29
Pavement,In The Mouth A Desert (Remastered),29
Del Tha Funkee Homosapien,Jaw Gymnastics,29
Social Distortion,Prison Bound,29
Black Star,Re:Definition,29
Bob Dylan,Subterranean Homesick Blues,29
The Rolling Stones,Sweet Virginia,29
Bob Dylan,All Along the Watchtower,28
