band_name,album,song_name,listen_date
17,02 The Cole Porter Songbook- CD2,You're the Top (Reprise),12/9/09
113,113 Degrթs,Trop Puissant,8/7/10
123,New Heaven,Work,7/30/12
311,Grassroots,Taiyed,5/14/14
311,Grassroots,Applied Science,5/14/14
311,Grassroots,Omaha Stylee,5/14/14
311,Grassroots,Grassroots,5/14/14
311,Grassroots,Silver,5/14/14
311,Grassroots,Taiyed,5/14/14
311,Grassroots,Applied Science,5/14/14
311,Grassroots,Omaha Stylee,5/14/14
311,Grassroots,8:16 A.M.,5/14/14
311,Grassroots,Nutsymtom,5/14/14
311,Grassroots,Lucky,5/14/14
311,Grassroots,Homebrew,5/14/14
311,Grassroots,Omaha Stylee,3/18/14
311,Grassroots,Omaha Stylee,3/18/14
311,Grassroots,Omaha Stylee,3/18/14
311,Grassroots,Omaha Stylee,3/17/14
311,Grassroots,Salsa,3/17/14
311,Grassroots,Grassroots,3/17/14
311,Grassroots,Silver,3/17/14
311,Grassroots,Taiyed,3/17/14
311,Grassroots,Applied Science,3/17/14
311,Grassroots,Omaha Stylee,3/17/14
311,Grassroots,Applied Science,3/17/14
311,Grassroots,Omaha Stylee,3/17/14
311,Grassroots,8:16 A.M.,3/17/14
311,Grassroots,Nutsymtom,3/17/14
311,Grassroots,Lucky,3/17/14
311,Grassroots,Homebrew,3/17/14
311,Grassroots,Taiyed,3/17/14
311,Grassroots,Applied Science,3/17/14
311,Grassroots,Omaha Stylee,3/17/14
311,311 Live,Omaha Stylee,3/17/14
311,Grassroots,Omaha Stylee,3/14/14
311,Grassroots,Applied Science,3/14/14
311,Grassroots,Omaha Stylee,3/14/14
311,Grassroots,Omaha Stylee,3/14/14
311,Grassroots,Applied Science,3/13/14
311,Grassroots,Omaha Stylee,3/13/14
311,Grassroots,1 2 3,3/13/14
311,Grassroots,Offbeat Bare Ass,3/13/14
311,Grassroots,Six,3/13/14
311,Grassroots,Lose,3/13/14
311,Grassroots,Salsa,3/13/14
311,Grassroots,Grassroots,3/13/14
311,Grassroots,Silver,3/13/14
311,Grassroots,Taiyed,3/13/14
311,Grassroots,Applied Science,3/13/14
311,Grassroots,Omaha Stylee,3/13/14
311,Grassroots,8:16 A.M.,3/13/14
311,Grassroots,Nutsymtom,3/13/14
311,Grassroots,Lucky,3/13/14
311,Grassroots,Homebrew,3/13/14
311,311 (Deluxe Version),Let The Cards Fall - Bonus CD: Unreleased Track,3/13/14
311,311 (Deluxe Version),Tribute - Bonus CD: Unreleased Track,3/13/14
311,311 (Deluxe Version),T & P Combo,3/13/14
311,311 (Deluxe Version),Sweet,3/13/14
311,311 (Deluxe Version),DLMD,3/13/14
311,311 (Deluxe Version),Don't Stay Home,3/13/14
311,311 (Deluxe Version),Brodels,3/13/14
311,311 (Deluxe Version),Loco,3/13/14
311,311 (Deluxe Version),Purpose,3/13/14
311,311 (Deluxe Version),Misdirected Hostility,3/13/14
311,311 (Deluxe Version),Guns (are for *******),3/13/14
311,311 (Deluxe Version),Hive,3/13/14
311,311 (Deluxe Version),All Mixed Up,3/13/14
311,311 (Deluxe Version),Jackolantern's Weather,3/13/14
311,311 (Deluxe Version),Random,3/13/14
311,311 (Deluxe Version),Down,3/13/14
311,311 (Deluxe Version),Don't Stay Home,9/2/12
311,Soundsystem,Flowing,8/5/11
311,Evolver,Still Dreaming,8/1/11
311,Unity,Unity,8/1/11
311,Greatest Hits '93-'03,Homebrew,7/15/11
311,Music,Paradise,7/12/11
311,Transistor,Tune In,6/10/11
311,Grassroots,Taiyed,6/8/11
311,Transistor,Tune In,6/6/11
311,Soundsystem,Freeze Time,6/3/11
311,Transistor,Creature Feature,5/19/11
311,Unity,Slinky,5/16/11
311,311,Guns (Are for Pussies),5/16/11
311,Grassroots,Grassroots,5/16/11
311,Unity,Right Now,5/16/11
311,Teenieweenie,Outside,5/12/11
311,Evolver,Other Side of Things,5/4/11
311,Greatest Hits '93-'03,Come Original,4/28/11
311,Music,My Stoney Baby,4/15/11
311,Evolver,Beyond the Gray Sky,4/12/11
311,Unity,Rollin,4/9/11
311,From Chaos,Hostile Apostle,3/4/11
311,Grassroots,Omaha Stylee,2/24/11
311,Greatest Hits '93-'03,Creatures (For a While),2/8/11
311,Greatest Hits '93-'03,Flowing,2/7/11
311,Transistor,No Control,11/29/10
311,Omaha Sessions,Slinky,11/22/10
311,Unity,Right Now,11/18/10
311,Grassroots,Salsa,11/17/10
311,Transistor,Transistor,10/29/10
311,Teenieweenie,Down,10/25/10
311,Unity,Feels So Good,7/6/10
311,311,All Mixed Up,7/4/10
311,Grassroots,Nutsymtom,6/8/10
311,Transistor,Transistor,5/26/10
311,Greatest Hits '93-'03,All Mixed Up,5/26/10
311,Transistor,Jupiter,5/24/10
311,Transistor,Transistor,5/19/10
311,Music,Plain,5/17/10
311,311,Misdirected Hostility,5/15/10
311,Teenieweenie,Down,5/14/10
311,Music,Freak Out,5/14/10
311,Transistor,Starshines,5/2/10
311,Transistor,Starshines,5/2/10
311,Unity,Down South,4/26/10
311,Unity,Down South,4/26/10
311,Evolver,Same Mistake Twice,4/26/10
311,311,Loco,4/19/10
311,Omaha Sessions,Soulsucker,4/14/10
311,Evolver,Sometimes Jacks Rule the Realm,4/9/10
311,311,Misdirected Hostility,4/7/10
311,311,Brodels,4/5/10
311,Evolver,Same Mistake Twice,3/29/10
311,Greatest Hits '93-'03,Flowing,2/12/10
311,Teenieweenie,Nix Hex,2/12/10
311,Teenieweenie,Silver,2/12/10
311,Omaha Sessions,Slinky,2/8/10
311,Greatest Hits '93-'03,Beyond the Gray Sky,2/8/10
311,Transistor,Transistor,1/25/10
311,Omaha Sessions,This Too Shall Pass (New Mix),1/15/10
311,Evolver,Seems Uncertain,1/13/10
311,From Chaos,Hostile Apostle,1/3/10
311,From Chaos,Hostile Apostle,1/3/10
311,50 First Dates,Love Song,12/30/09
311,50 First Dates,Love Song,12/30/09
311,Teenieweenie,All Mixed Up,12/22/09
311,Greatest Hits '93-'03,Homebrew,12/17/09
311,Teenieweenie,Silver,12/14/09
311,Greatest Hits '93-'03,I'll Be Here Awhile,12/1/09
311,Transistor,Galaxy,11/30/09
311,Transistor,Jupiter,11/30/09
311,Transistor,Transistor,11/21/09
311,Unity,Down South,11/20/09
311,50 First Dates,Love Song,11/17/09
311,50 First Dates,Love Song,11/10/09
311,Greatest Hits '93-'03,Come Original,11/9/09
311,Grassroots,Omaha Stylee,11/3/09
311,311,Don't Stay Home,10/29/09
311,Unity,Unity,10/22/09
311,From Chaos,Wake Your Mind Up,10/15/09
311,311,Jack-O-Lantern's Weather,10/13/09
311,Greatest Hits '93-'03,All Mixed Up,10/10/09
311,Teenieweenie,Feels So Good,10/10/09
311,Grassroots,Omaha Stylee,10/7/09
311,Greatest Hits '93-'03,Down,10/7/09
311,Soundsystem,Freeze Time,9/25/09
311,Greatest Hits '93-'03,All Mixed Up,9/24/09
311,Greatest Hits '93-'03,Flowing,9/24/09
311,Greatest Hits '93-'03,Down,9/24/09
311,Grassroots,123,9/24/09
311,Grassroots,Offbeat Bare Ass,9/24/09
311,Grassroots,Six,9/24/09
311,Grassroots,Lose,9/24/09
311,Grassroots,Salsa,9/24/09
311,Grassroots,Grassroots,9/24/09
311,Grassroots,Taiyed,9/24/09
311,Grassroots,Applied Science,9/24/09
311,Grassroots,Omaha Stylee,9/24/09
311,Grassroots,0.344444444444444,9/24/09
311,Grassroots,Nutsymtom,9/24/09
311,Greatest Hits '93-'03,Come Original,9/24/09
311,Greatest Hits '93-'03,All Mixed Up,9/24/09
311,Grassroots,Salsa,9/23/09
311,Grassroots,Salsa,9/23/09
311,Grassroots,Omaha Stylee,9/22/09
311,Grassroots,Omaha Stylee,9/22/09
311,Grassroots,Omaha Stylee,9/22/09
311,Grassroots,Omaha Stylee,9/22/09
311,Soundsystem,Come Original,9/22/09
311,Soundsystem,Sever,8/6/09
311,Soundsystem,Come Original,6/29/09
311,From Chaos,Wake Your Mind Up,6/22/09
311,311,All Mixed Up,6/19/09
311,311,All Mixed Up,6/15/09
311,Teenieweenie,Plain,5/4/09
311,Teenieweenie,All Mixed Up,4/24/09
